Basin,OrigFRI,OrigDRI,ParetoBestFRI,ParetoBestDRI,NumPareto
SAN ANTONIO,0.14043514,0.26506788,0.14043514,0.26506782,3
SAN JOAQUIN,0.18915698,0.27664733,0.18915698,0.27664727,2
SAN JUAN,0.17662713,0.2977903,0.17662713,0.29779023,2
SAN PEDRO,0.19180906,0.2551026,0.19180904,0.2551026,2
SANAGA,0.18872112,0.31961128,0.18872103,0.31961122,2
SANTA CRUZ,0.15317771,0.2759929,0.15317768,0.27599287,2
SANTA,0.13676818,0.24633396,0.13676812,0.24633394,2
SANTEE,0.17184505,0.27460545,0.17184505,0.2746054,1
SANTIAGO,0.3135816,0.5259326,0.3135814,0.5259326,2
SAO FRANCISCO,0.27395248,0.5314753,0.27395204,0.5314752,2
SARYSU,0.20863011,0.31225494,0.20863011,0.3122549,2
SASSANDRA,0.18201004,0.45738187,0.18200998,0.45738178,2
SAVANNAH,0.21129166,0.40225968,0.21129169,0.40225956,4
SAVE,0.19599998,0.27131057,0.19599985,0.27131057,2
SCHELDE (also ESCAUT),0.1503061,0.26564643,0.150306,0.26564637,2
SEAL,0.14036642,0.2722913,0.1403664,0.27229124,2
SEBOU,0.16624957,0.29379937,0.16624956,0.29379934,2
SEINE,0.19770813,0.37154633,0.197708,0.3715462,2
SEMBAKUNG,0.1407231,0.23874597,0.1407231,0.23874596,2
SENEGAL,0.18762021,0.41444322,0.18762021,0.4144431,2
