Basin,OrigFRI,OrigDRI,ParetoBestFRI,ParetoBestDRI,NumPareto,FRI_improve,DRI_improve
LOFFA (also LOFA RIVER),0.18910377,0.25766152,0.18910374,0.25766152,2,0.9999948705674961,0.9999961189543595
LOIRE,0.17635405,0.27833754,0.17635404,0.27833742,3,0.999994386324315,0.9999968383811334
LORENTZ,0.15692735,0.2472605,0.15692736,0.24726051,1,0.9999935639421709,0.9999959152558763
LUAN HE,0.17180824,0.27328303,0.17180823,0.27328306,2,0.9999942377950242,0.9999962310278908
LULEALVEN,0.15207888,0.3157393,0.15207885,0.3157392,2,0.9999936217717207,0.9999971495552357
LURIO,0.1759364,0.38307777,0.17593637,0.38307768,2,0.9999944866744341,0.9999976245088869
MA,0.19486563,0.25473773,0.19486566,0.25473756,1,0.999994714334407,0.9999967417575103
MAAS (also MEUSE),0.17169511,0.27390975,0.17169511,0.2739097,2,0.9999941757562242,0.9999965317163588
MACKENZIE,0.36158335,0.43322542,0.36158323,0.4332252,3,0.9999975662655423,0.9999981995548748
MAE KLONG,0.16654985,0.26505,0.1665498,0.26505005,2,0.9999942960346032,0.9999960384989988
MAGDALENA,0.19420823,0.460285,0.19420826,0.46028537,1,0.9999946964423839,0.9999970235920738
MAHAKAM,0.1685758,0.608165,0.16857578,0.608165,2,0.9999941866252279,0.9999983557120917
MAHANADI,0.18321688,0.3567489,0.18321683,0.35674873,1,0.9999948149151204,0.999997673439024
MAHI,0.15936846,0.26461947,0.15936846,0.26461947,1,0.9999937252720816,0.9999962210028576
MAJES,0.15350802,0.24981858,0.153508,0.24981856,1,0.9999936160094847,0.9999960771686573
MAMBERAMO,0.23650831,0.40980622,0.23650828,0.409806,3,0.9999958986810159,0.9999980966650155
MANGOKY,0.20123738,0.33655363,0.20123735,0.33655363,1,0.9999951798451935,0.9999970287141794
MANICOUAGAN,0.1669891,0.26810127,0.16698907,0.26810125,1,0.9999941912713732,0.9999963446781965
MANO (also MANO RIVER),0.1617216,0.25252125,0.16172162,0.25252122,2,0.9999936929045546,0.9999961587538713
"MAPUTO (also LUSUTFU, also USUTU)",0.17456806,0.26081592,0.17456804,0.26081592,2,0.9999943861752346,0.9999961658929184
MAR CHIQUITA,0.17255673,0.2908781,0.17255676,0.29087806,1,0.9999940309841759,0.9999966996593017
MARITSA RIVER,0.16095534,0.28042522,0.16095537,0.2804252,1,0.9999936007503152,0.9999965053194032
MARONI,0.20296663,0.27224246,0.20296662,0.2722424,1,0.9999951223746922,0.9999965472073888
MBINI (also WOLEU),0.19730513,0.25845358,0.19730502,0.25845358,2,0.9999954892405208,0.9999961308482134
MCARTHUR,0.17153816,0.27819157,0.17153813,0.2781916,1,0.9999943453135153,0.9999962975291221
MEARIM,0.1673914,0.3254075,0.1673914,0.32540745,2,0.9999940260131285,0.9999970805920991
MEDJERDA (also MAJARDAH),0.13442251,0.25438324,0.13442253,0.2543832,2,0.9999924120427427,0.9999962261807143
MEGHNA,0.18476024,0.28702572,0.18476024,0.28702572,1,0.9999945876093925,0.9999965160038062
MEKONG,0.36671534,0.3757268,0.366715,0.37572676,2,0.9999982002421492,0.999997444958552
MELRHIR,0.18214206,0.30404505,0.18214205,0.304045,2,0.9999945647116373,0.9999968754727903
MERIN (also MIRIM),0.15025468,0.36851335,0.1502547,0.36851326,2,0.9999932115720069,0.9999975306247308
MERRIMACK,0.15998226,0.26144302,0.15998226,0.26144302,4,0.9999937493460254,0.9999961750894131
MESSALO,0.19303757,0.2669215,0.19303754,0.2669215,1,0.9999949750966827,0.9999962535942082
MEZEN,0.19328123,0.39015022,0.19328126,0.39014992,1,0.9999946710060198,0.9999982058225059
MIN JIANG,0.17844726,0.29238853,0.17844725,0.2923885,1,0.999994452173109,0.9999966825074088
MINO (also MINHO),0.1544413,0.2816277,0.15444137,0.2816277,1,0.9999930718493896,0.9999964492255229
MIRA,0.17559144,0.25008628,0.17559144,0.25008625,2,0.9999943049939963,0.9999961213536476
MISSISSIPPI,0.34654963,0.572584,0.34655014,0.5725833,1,0.9999956427787253,0.9999994760596823
MITCHELL,0.14886425,0.31757405,0.14886422,0.31757405,2,0.9999934840387836,0.9999968511380224
MOA (also MAKONA),0.20531423,0.2917355,0.20531419,0.29173538,2,0.9999953242621745,0.9999969835781195
MOBILE RIVER,0.19292754,0.33376837,0.1929275,0.3337682,1,0.9999950240633189,0.9999975132516721
MOGAMI,0.16119097,0.24442594,0.16119097,0.24442594,1,0.99999379621702,0.9999959087979419
MONO,0.16728328,0.2713678,0.1672833,0.27136773,2,0.9999939025957607,0.9999965729286496
MOOSE,0.17841364,0.35256457,0.17841363,0.35256442,3,0.9999944511276907,0.9999975890999181
MOTAGUA,0.16122864,0.2680973,0.16122861,0.26809722,2,0.9999939837353697,0.9999965684218268
MOTALA STROM,0.15613016,0.266697,0.15613016,0.26669687,2,0.9999935951286085,0.9999967378817088
MOULOUYA,0.22159441,0.31744176,0.22159447,0.31744158,4,0.9999952165087129,0.9999974168556721
MUCURI,0.154797,0.2593538,0.15479693,0.25935376,2,0.9999939921677247,0.9999962985063395
MURCHISON,0.17364983,0.33897546,0.17364985,0.33897543,1,0.9999941261445021,0.9999971384441095
MURRAY,0.28923592,0.47822016,0.289236,0.47822022,2,0.9999962660378859,0.9999977834526039
NADYM,0.1825265,0.32519186,0.1825265,0.32519165,1,0.9999945213734917,0.9999975706708009
NAKDONG,0.14748703,0.26434988,0.147487,0.26434988,2,0.9999934231937513,0.9999962171489651
NARMADA,0.24602282,0.38757402,0.24602303,0.38757384,2,0.999995081781239,0.9999978842795886
NARVA,0.1830826,0.30582345,0.18308257,0.30582342,1,0.99999470187303,0.9999968282454358
NASS,0.18621662,0.2588462,0.1862166,0.25884604,1,0.9999947373395425,0.9999967548402333
NATASHQUAN,0.18172196,0.27514005,0.18172187,0.27514002,1,0.9999949923749277,0.9999964745351314
NEGRO,0.19943637,0.47507372,0.19943626,0.4750737,2,0.9999955374437053,0.999997937166513
NELSON,0.2355048,0.37738547,0.2355048,0.37738544,1,0.9999957538200758,0.9999974296903725
"NEMAN (also NEMUNAS, also NYOMAN)",0.20704399,0.34207904,0.2070439,0.34207892,1,0.9999956048180854,0.999997427501737
NESTOS (also MESTA),0.14935413,0.27054742,0.14935414,0.27054736,1,0.9999932375946352,0.9999965255749471
NEVA,0.1717628,0.30597955,0.17176269,0.30597943,3,0.999994818462505,0.9999971239990741
NIGER,0.29652026,0.7528461,0.29652,0.7528462,1,0.9999975043926063,0.9999985388801339
NILE,0.25881955,0.4916375,0.25881898,0.49163735,2,0.9999983386135802,0.9999982710868671
NOATAK,0.16126898,0.26763117,0.16126896,0.26763108,3,0.9999939232328204,0.9999965998097088
NOTTAWAY,0.18007796,0.28923184,0.1800779,0.28923178,1,0.9999947800658489,0.9999967500225945
